country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,405,432,610,529,498,433,310,202,114,23,19.7,19.3,18.5,23.6,28.5,30.6,36.3,39,43.7,52.1
St. Lucia,,,,,,,,,,,,8.47,9.95,10.2,8.5,8.59,9.86,13.1,14.3,14.3,15.2,14.9,16,16.4,17.7,18.8,19.9,21.1,23.4,22.6,27.1,32.7,36.3,38.6,38.7,42.3,30.9,37.9,61.3,32.4,40.4,29.3,27.6,29.5,32.6,32,31,32.9,31.5,31.9,48.2
Sri Lanka,20.3,24.1,23.6,24.1,24.3,24.3,30.8,32.4,55.2,46.5,45.5,51,54.6,56.2,51.1,59.5,64.1,71.5,74.8,74.8,73.6,73.7,66.9,66.8,68.4,65.3,60.6,54.3,58.3,64.7,57.8,57.9,62.2,57.3,56.7,46.9,42.5,44.3,41.1,46.9,38.6,39.9,53.2,54.2,54.5,55.9,58.2,59.6,61.8,68.8,71.8
Lesotho,9.18,8.79,8.8,5.04,4.24,5.61,5.66,6.85,7.65,10.5,10.4,11.6,17.6,16.7,20.7,34.9,33.6,35,35.4,40.3,41.3,41.4,40.8,46.5,51.6,51.1,55.4,50.9,57.7,57.5,68.1,57.3,63.4,42.6,37.3,30.5,29.3,29.2,29.3,33.4,27.4,26.3,30.3,33.2,32.7,34.9,38.4,35.7,31.5,34.8,50.1
Morocco,25,26.1,23.5,20.8,19.8,29.8,35.4,51.3,53.1,52.5,45.7,61.5,72.7,83.1,96.8,112,94.4,99.3,85.2,87.5,85.4,71.9,69.2,72.2,66.5,62.9,57.5,61.6,57.7,56.4,54.6,48.8,43.5,35.7,28.9,26.3,26.4,26.3,22.8,27,29.7,30.1,35.2,37.3,40.1,44.7,47,47.4,43.6,46.8,58.1
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3,54.3,62,98.5,136,112,108,95.7,71.6,65.4,68.8,69.9,56,64.7,63.2,58,55.9,59.7,56.6,74.4,73.1,68.2,62,59.7,68.4
Madagascar,43.8,40.9,38.1,30.6,39.5,34.8,8.75,33.2,13.3,22.4,24.2,34.5,41.2,44.7,57.1,68.8,71.7,121,122,115,98.2,126,110,97.2,122,118,86.9,99.4,103,115,104,78.4,86.5,79.5,76.6,61.5,24.4,27.6,23.8,30,28,25.2,26.6,24.4,24.2,27.5,26,26.4,27.9,29.9,38.5
Maldives,,,,,,,,,,,,,,,,72.8,57.2,61.4,45.1,38.9,40.2,38.2,38.1,40.6,39.4,40.9,39.3,35.6,37.8,39.3,34.2,27.6,30.9,28.8,28.5,32,36.1,48.6,57.7,66.2,40.3,35.6,36,35.1,33,26.6,30.4,34.6,48.7,53.1,96.9
Mexico,20.3,19.8,18.8,19.6,19.9,21.4,27.8,39.4,36.1,32.9,29,30.9,50.1,63.4,54.5,52.1,79.6,77.9,57,44.1,41.4,37.5,31.8,27,27.2,48.1,39.7,30.5,31.2,28.6,22,22.4,20.7,22.1,21.5,19.9,17.8,18.9,18.1,21.8,23.5,25.1,29.7,32.8,34.5,37.4,40.4,39.3,38.3,38.3,45.1
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,39.7,31.4,27.4,39.6,32,40.1,37.9,40,40.7,42.4,38.7,50.1,48.5,48.2,52.5,44.3,56.2,55.6,59.5,67.9,63.8,64.9,69.4,73.3,78.7,71.3,74.7,89.9
Mali,69.8,68.8,55.3,53.6,65.4,43.4,40.1,44.9,45.7,35.9,41.8,55.2,67,78,102,107,95.4,99,94.3,97.5,92.6,95.5,103,103,131,111,110,119,112,94.8,102,87.2,75.7,67.2,62.1,52.6,23.9,23.3,21.4,22.5,23.8,23.2,25.5,26.8,24.6,28.8,27.7,28.8,28,30.6,36.3
Myanmar,7.72,8.93,11,13.8,11.2,10.4,10.2,14.8,23.1,27.6,29.9,34.3,38.3,40.5,40,49,50.3,51.8,43.4,31.4,25.3,20.4,15.6,11.8,9.34,6.62,4.9,3.8,2.86,2.13,1.75,1.34,0.983,0.699,0.539,0.386,0.305,0.229,0.183,0.17,0.155,0.141,10.2,17.4,16.9,17,17.3,18,16.4,16.7,17.2
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.8,34.9,32.6,56.6,110,121,149,158,142,151,141,146,144,149,201
Mongolia,,,,,,,,,,,,,,,,,,,,,,,27.5,52.3,51.2,37.2,40.1,51.9,64.6,92.8,84.8,74.7,79.2,97.5,80.4,56.5,44.3,42.1,40.1,68.1,89.7,101,137,162,189,206,240,283,249,251,276
Mozambique,,,,,,,,,,,,,,,,,,,,,,134,206,202,274,269,202,168,163,126,122,87.5,102,89.8,81.7,73.2,56.4,52.9,46.8,52.3,55.2,44.3,43.8,75.5,75.9,90.1,122,123,128,133,154
Mauritania,8.83,12.1,14.9,21.8,27.6,28,56.8,69.1,87.7,77.6,81.9,91.1,107,115,127,152,156,160,152,142,146,106,100,122,121,118,114,119,116,124,131,131,122,110,94.7,76,40.6,59.9,55,65.9,64,56.6,65.4,64.3,71.5,83.4,80.9,78.2,71.4,68.9,73.1
Mauritius,,,,,,,9.15,12.4,18.9,25.6,37.9,46,53.3,48.8,51.3,56,45,42.7,39.4,37.6,35.4,34.6,29.2,27.6,31.1,35.2,32,32.1,30.9,29.9,20.8,18.7,42.1,55.7,50.7,56,49.5,67.7,64.1,79.7,80,88.2,88.6,95.1,92.6,81.4,79.1,109,101,115,156
Malawi,47.7,42.1,43.8,48.3,43,43.4,47.5,59,65.2,67.6,73,71.1,77.9,77.5,76.4,94.7,103,121,102,91.5,84.8,77.2,97.1,90,178,166,103,84.9,143,159,159,154,84.1,98.2,100,88.4,22,19.7,18.8,18.7,14.9,15.4,22.6,29.2,28.3,28,34.1,24.7,23.7,22.6,24.8
Niger,4.89,6.01,7.4,6.88,9.22,11,12.6,13.4,34.9,30.8,35,48.8,49.4,55.2,69.5,87.5,76.5,76.1,76.1,69.5,49.7,46.1,45.4,51.2,79.2,69.1,63.3,67.8,61.5,65,73.7,63.8,63.2,60.5,49.5,42.1,15.1,18,12.3,16.1,18.5,23.7,18.3,18.7,17.7,22,23.6,26.3,23.8,26.8,34.9
Nigeria,6.93,11.3,9.55,12.6,7.84,6.22,3.77,8.82,14,13.3,14.6,7.03,8.46,18.2,24.5,25.7,41.6,57.7,60.3,71.9,65.4,71.9,64.7,121,105,81.5,64.3,54.5,58.5,50.3,52.9,48.3,40.3,42.3,35.2,17.9,5.6,5.87,5.08,6.88,5.5,5.49,4.95,5.06,5.42,6.84,9.02,12.6,14.3,13.9,16.9
Nicaragua,34,38.7,43.8,50,48.4,59.2,56.5,64.7,78.3,116,110,113,132,164,168,234,245,211,389,1230,1110,960,879,880,366,281,155,153,143,138,139,126,128,134,91,81.2,64,56.9,57,73.6,82.4,83.5,88,92.7,88.6,85.9,87.2,88.1,94.4,96.2,98.3
Nepal,0.439,1.04,1.2,2.07,2.26,2.16,3.4,7.24,6.99,7.87,10.4,12.2,14.7,18.4,17.9,22.5,26.1,33.3,33.4,38.4,44.7,44.9,52.7,54.6,56.9,54.7,52.9,49,54.9,60,52.1,45.5,49.6,50.8,46.4,39.1,37.3,34.6,29.2,29,23.5,17.6,17.4,18,17.3,16.8,17.3,17,16.5,18.9,23.2
Pakistan,34.3,35.8,43.9,72.4,58,51.7,52.2,50.6,47.2,45.8,42.5,38,38.5,42.5,39.8,44,47.8,51.4,45.3,46.7,52.9,52.6,52.3,48.8,54,51.4,48.7,50,54,55.9,41.4,41.4,43.8,40.9,34.6,29.1,27.8,28.4,30,34.6,36.3,30.7,28.8,26.4,26.7,25.8,27.5,30.6,32.1,39.5,45.3
Panama,19,21.2,27.2,31.6,34.9,42.2,58.4,60.6,69.8,69.6,70.5,71.5,72,75.2,74.3,74.5,76.1,80.4,104,112,108,103,84.9,81.9,78,69,63.1,58.6,57.9,60.1,56.3,65.6,62.6,64.3,60.3,57.2,56.5,46.8,189,178,180,174,163,160,171,175,166,159,166,172,208
Peru,46.1,42.5,40.4,38,40.2,38.4,50.7,65.3,82.4,62.5,55.1,42.2,52.1,70.6,74.7,83.4,106,90.5,131,89.7,81.8,62.2,58.5,70.3,61.6,60.5,54.1,52.5,56,59.5,57,54.2,53.1,53.1,50.1,41.4,36,34.2,30.9,33,30.8,28.3,34.1,33.3,35.4,36.7,37.8,33.6,31.6,29.4,37.6
Philippines,29.6,29.2,29.9,24.4,21.3,24.9,31.6,37,42,42.9,47.8,52,59.3,65.6,71.1,79.2,86.3,81.4,69,60.9,61.4,63,54.5,57.4,53.7,45.3,44.9,51.3,63.1,60.2,63.8,67.5,65,65.9,58.9,49.8,41.3,34.8,29.3,28.5,28.2,25.5,23.9,20.9,23.3,22.3,21.1,20,20.6,20.2,25.3
Papua New Guinea,33.4,59.7,60.7,43.2,37.2,39.4,35.6,42.1,30.4,27.2,28.9,49.1,72.4,77.2,82.1,90.5,77.1,75.9,64,67.9,83.8,75.7,95.2,72,54.8,57.3,53.4,56.1,77,83.3,70.4,72.3,66.9,59.5,49.7,41.3,23.3,17.3,13,16.4,45.4,77.3,73.9,111,89.6,95.6,93.8,77.3,75.4,79.1,73.7
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,32.1,28,27.3,33.2,42.4,40.1,37.9,51.1,104,88.4,88.7,79,63.5,53.3,65.5,61.3,47.8,50.4,42.3,42.3,46.9,46.8,42.2,40.6,44.6,57.1
Romania,,,,,,,,,,,,,,,,,,,,2.58,2.93,7.44,13.1,16.3,18.7,18.4,23.1,27.3,24.5,25.7,30.4,31.7,36.8,40.3,41.3,40.7,45.8,50.9,47.4,66.1,70.2,66.1,72.1,65.9,56.2,54.8,51.8,54.6,47.5,48,58.2
Russia,,,,,,,,,,,,,,,,,,,,,,,17.5,26.1,31.1,31.1,32.9,32.3,67.8,95.7,58,46.7,40.9,44.6,37,33.5,32.4,32.8,26,34.4,28.3,27.4,27.6,30.2,27.8,36.6,42.6,33.6,29.2,29.6,32.8
Rwanda,2.22,0.896,1.37,2.75,4.03,4.23,7.52,11.8,14.1,14.1,15.1,13.9,15.4,16.2,18.3,21.4,23.3,28.2,27.4,26,28,42.6,42.5,46.5,127,79.5,76.4,60.6,62.3,61.2,62.8,66.9,74.6,73.8,71.3,52.5,13.2,15.3,18.1,19.5,20.3,21.4,24,30.1,36.1,41.2,51.1,56.6,61.1,65.1,81.1
Sudan,15.9,15,15.8,15.9,25,28.9,30.2,30.3,41.5,45.6,69.8,64.2,79,93.3,91,74.6,63.1,57.6,77.8,92,130,156,251,199,144,138,196,144,155,158,138,99.2,92.9,84.6,72,52,42.7,34.6,32.9,42.2,40.7,41.3,61.3,55.9,44.8,42.3,50.5,54.8,73.9,90.7,116
Senegal,11.3,11.5,10.1,10.9,12.9,12.7,14.6,21.8,27.9,28,33.4,41.9,47.7,59.8,65.4,69.3,61.8,64.2,62.8,53.2,52.1,50.8,48.2,53.6,75.6,63.5,58.4,63.8,63.5,61.6,61.7,57.6,59.7,50.7,39.5,35.4,18.5,23,21.9,29.7,30.9,30.6,34.4,34.2,34.1,39.1,40.6,48.1,56.3,66.8,71.7
Solomon Islands,,,,,,,,,16.8,14.1,11.5,12.3,15.3,19.9,25.5,40.9,54.2,66.1,61.6,60.7,57.5,59.2,36.4,50.7,38.7,34.3,29.3,27,34.4,35.2,37.6,40.1,53.3,51.9,44.9,35,33.2,30.4,25.9,25.4,28.7,26.4,20.1,15.8,14.2,16.2,19.8,25.9,20.8,22.6,27.1
Sierra Leone,14.4,27,26.1,25.1,30.4,30.8,40.2,43.4,37.6,38.9,45.3,55.5,51,67.3,58.7,86,194,155,104,123,206,177,230,215,195,153,137,144,206,205,203,118,115,116,119,112,82.7,24.3,23.5,32.2,35.7,36.2,34,28.6,29.3,37.4,49.7,48.2,46.2,46,53
El Salvador,18.3,19.6,22.2,19.8,25.7,26.6,24.5,27.9,32.5,28.4,28.6,36.5,46.8,54.5,54.6,52.9,53.5,54.1,51.6,51.1,47.6,44.5,41.1,30.3,28.5,29.1,30.3,31.8,30.7,34.2,39.3,44.5,49.5,67.2,69,67.7,64.3,59.6,60.7,61,64.2,64.7,66,67.3,70.4,69.7,72.2,72.8,68.1,68,78.6
Somalia,22.7,24.1,23.1,23.4,32.7,26.1,30,64,72.8,77.8,89.2,136,146,179,190,188,196,196,199,200,269,,,,,,,,,,,,,,,,,,,,,,,76.1,72.1,68.9,65.8,63.3,119,115,94.1
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.3,56,56.6,168,96.2,66.9,63.8,56.2,59.1,62,62.7,60.1,76,80.4,66.9,82,76.6,70.9,80,73.7,76.1,65.5,66.8,74.4
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,407,341,324,251,241,108,70.1,83.7,91.8,98.9,82.7,71.4,64.6,76.7,71.7,72,61.3,59.1,61.9
Eswatini,38,28,24.7,19.3,15.7,,,,,,,,,,,,,,,,21.8,21.2,17.4,16.2,17.2,14,13.5,22.1,18.4,20.8,18.8,21.2,28.6,21,16.7,15.5,14.2,14.4,14.8,15.2,17.1,13.9,10.6,10.3,9.78,9.79,13.8,15.9,11.8,15.6,21.4
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,2.69,2.23,8.3,11.5,24.5,22.6,27.9,36.7,29.7,22.1,20.9,
Chad,7.45,9.31,6.2,7.37,11.6,16.4,17.8,22,25.1,30.8,27.4,29.7,26.5,26.5,21.3,21.1,24.9,30.2,26.9,28,29.9,32.9,34,48.6,66.9,58.4,59.3,62.6,59.1,72.4,80.2,64.9,65.9,67.4,44.3,29,28.3,24.8,20.7,21.1,20.9,19.7,19.4,23.5,27.9,26.4,28.9,31.7,29.3,29.7,36.7
Togo,16,16.8,14.3,17.7,22.6,27.4,39.4,56.8,102,127,102,109,122,127,118,129,105,103,91.8,89.5,80.1,86,81.2,107,156,117,103,91.5,94.1,100,98.8,97.9,95.1,82.8,82.6,75.1,77.6,74.7,49.5,51.3,37.6,15.2,19.3,21.3,22.1,25.4,20,25.7,24.1,27.8,33.5
Thailand,14.1,14.6,15.1,11.5,11.7,12.5,13.7,17,21.1,24.6,25.9,31.6,34,35,36.3,45.9,43.9,41,35.9,33,33.4,39,38.4,41.6,45.5,60.3,63.3,75.3,96,78.9,64.4,57.6,48.6,40,35.3,32.3,29.3,24.7,23.7,29.7,32.5,31.9,39.1,38.5,37.8,34.7,35.3,37.1,35.8,34.3,41.9
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,0.451,23.3,44.2,53.3,71.8,117,95.5,130,138,113,106,85.7,57.8,42,30.7,28.5,37.6,44.8,51.1,47.2,47.4,43.8,45.4,52.5,64.1,65.1,67.7,69,71.1
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,8.22,16.2,16.1,31.6,73.6,90.9,112,96.3,65.4,49.1,32.5,27,15.3,10.3,7.14,4.48,4.24,8.13,16.3,20.6,23.1,18.6,20.8,23.2,23.8,20.9,15,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,2.16,3.13,4.18,3.63,5.44,6.98,7.45,9.73
Tonga,,,,,,,,,,,,,,,,39.1,40.2,42.4,33,35.4,46.1,33.4,31.4,31.7,28.6,30.2,28.1,26.7,32.5,37.9,35.7,39.3,43.8,46,40.5,34.1,30.8,32,28.3,35.7,40.6,44.8,40.9,43.2,44.2,41.8,41.3,40.3,36,33.7,36.7
Tunisia,43.7,41.5,34.8,33.8,29.5,26.6,29.9,45.8,51.4,49.3,41.8,44.4,48.2,50.3,51.2,60.6,69.2,74,70.8,72.5,64.7,65.9,57.8,63.5,65.2,63,61.3,56.6,51.8,54,55.3,61.1,69.9,68.6,65.8,58.9,57.4,56.1,50.9,55.4,51.4,49.7,55.9,55.3,55.5,61.9,66.8,81.8,85,98.2,101
Turkey,16.1,20.3,17.5,16.4,13.1,11.4,11.8,19.6,23,18,28.3,27.6,31.3,33.8,36.9,39.6,44.6,48.1,46.4,39.7,33.4,34.5,36.3,38.7,52,44.4,45.2,45.3,35.5,40.3,43.2,57.4,54.9,46.6,39.6,34.7,38.3,38.5,38.1,43.5,39,36.7,38.8,41.1,43.6,46.8,47.6,53.8,58.2,58.9,61.3
Tanzania,,,,,,,,,,,,,,,,,,,122,138,158,137,151,165,166,144,114,94,61.7,62.8,54.4,49.2,51,48.8,52.5,46.7,22.1,23.5,21.9,27,28.4,29.9,30.8,31.1,33,39,39.9,41.1,39.8,39,41.3
Uganda,12.2,12.4,12.1,10.4,9.7,8.88,9.99,10.3,17.7,27.6,55.8,53.4,40.6,46,30.1,35.7,36.7,31.1,30.1,42.1,61.6,85.9,107,96.3,86.5,63.3,61.8,62.5,59.9,59.1,58.1,66.6,66.5,70.8,62,49.7,13.4,14.2,16.2,11.2,11.3,11.9,14.1,30.3,27.1,30.1,35.2,38.9,38.5,40.6,46.5
Ukraine,,,,,,,,,,,,,,,,,,,,,,,0.767,6.02,10.8,17.7,21.7,22.5,31.9,51.3,45.9,59.5,56.2,52.2,50,41.2,51.2,56.9,55.8,91.7,91.6,85.2,74.1,78.1,96.1,124,122,108,91.6,79.5,81.4
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,0.464,7.91,9.7,13.5,17.2,20.1,22.6,31.4,36.5,46.5,53.9,53.1,43.4,32.4,26.2,20,16.2,21.1,15.8,13.4,12.6,13.8,14.8,15.3,17.8,26.4,32.8,36.9,53.9
St. Vincent and the Grenadines,7.89,3.69,2.81,9.24,9.69,10.4,11.4,9.61,9.35,10.3,13,18.6,19.1,21.3,18.9,19,20.6,24.2,25.5,25.4,27.3,28.3,28.3,36.6,41,38.8,38,35.1,37.9,52.2,51.7,47.2,39.5,43.5,46.4,48.5,41.6,30.5,34.5,37.2,44.2,45.8,41.8,43.4,48.8,46.7,43.4,42.5,39.9,43,50.2
Venezuela,13.6,16.3,19.3,17.6,10.7,8.31,15.8,29.7,42.3,49.9,49.4,48.1,48.6,58.6,63.7,59.2,58.4,74.5,59.4,78.7,69.4,64.5,64.5,64.3,65.3,47.4,52,53.1,55.7,50.8,42.7,38.6,49.6,57.4,42.5,35.2,27.1,28,23.1,28.8,30,43.9,40.8,42.8,33.7,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,327,384,257,256,191,157,123,108,82.6,84.7,82.8,41.8,39.2,38.7,40.1,39.6,32.9,28.9,30.7,27.5,32.3,40.3,41.6,41.2,40,40.9,43,44.8,50.3,46.6,47.9,48.9
Vanuatu,,,,,,,,,,,,3.09,4.37,10.6,10.3,13.3,15.4,19.9,19,20.4,22.8,19.7,20.2,23.4,23.2,23,20.8,20.1,25.3,33.5,43.3,48.3,64,53.7,44.5,27.2,26.4,26,25.3,26.9,27.4,23.8,25.9,21.2,25.9,34.5,36.8,45.5,42.7,43.7,46.9
Samoa,,,,,,,,,,,,,69.7,77.2,93.6,111,103,96.6,81.1,86.9,103,129,,,,,,,,,,,55.3,53.6,45,39.3,35.1,35.2,35.8,45.6,50.5,51.9,57.7,60.2,61.9,56.7,53.5,55,54,50.1,56.3
Yemen,,,,,,,,,,,,,,,,,,,,,113,113,104,113,151,153,121,62.9,96.8,73.9,58,56.6,53.9,51,44.7,36.2,32.1,30.3,24.9,28.4,22.4,21.2,22.4,19.9,19,17.8,22.6,26.8,32.6,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,14.3,15,16.3,18.5,17.4,17.3,17.9,19.5,27.8,19.7,16.9,14.9,19,21.9,23.5,24.8,26.5,26.6,34.9,36.2,38.3,36.8,45.7,47.2,44.2,49,51.8
Zambia,45.8,52.4,51.8,49.2,41,69,75.8,98.4,97.8,100,91.8,95.9,97.6,126,152,223,416,337,203,182,230,232,234,215,199,195,208,164,207,184,169,158,165,144,130,69.7,19.5,21.8,17.9,24.5,22.5,22.3,22.8,23.4,34.6,56.5,74.9,92.8,90.8,121,171
Zimbabwe,12.5,11.1,8.28,6.65,5.53,4.34,3.39,4.65,10.4,11,12,16,22.5,29.1,35.2,44.1,43.9,44.7,36.1,35.4,39,42.2,64.4,68.3,69.2,74.9,61.7,61.1,77.9,68,62,58,66.7,85,91.1,82.8,97.6,118,147,64.6,56.9,53.4,52.8,44.8,43.6,49.2,56.9,72.4,70.9,64.8,73
